id,mfu,name,meridian,cc,patient,therapist,notes,page,order
acu_an_sc,AN-SC,AN-SC,,喙突下方，胸小肌肌腹上，三角肌与胸大肌之间,仰卧,位于治疗点同侧A) 指关节B) 指腹,,13,1
acu_an_hu,AN-HU,AN-HU,,肱二头肌长头和短头之间对应的三角肌前束筋膜上,仰卧,位于治疗点同侧A)肘关节B)指关节,①把手月由横放在肚子,14,1
acu_an_cu,AN-CU,AN-CU,,平三角肌止点水平，肱二头肌肌腹上,仰卧,位于治疗点同侧A)肘关节B)指关节：一手稳定患者上臂，一手治疗,①手在风展后,15,1
acu_an_ca,AN-CA,AN-CA,,肱桡肌和桡侧腕屈肌间沟内，前臂近端1/3处,仰卧,位于治疗点同侧A) 指关节B) 肘关节,,16,1
acu_re_cp1,RE-CP1,RE-CP1,,眉毛内侧1/3，眼眶外，眶上孔之上,仰卧,位于患者头侧， 使用指关节，一手稳定患者头部，一手治疗,,17,1
acu_re_cp2,RE-CP2,RE-CP2,,RE-CP1上方稍外侧，近发际线，额肌上,仰卧,位于患者头侧，使用指关节，一手稳定患者头部，一手治疗,眉头与发际线中间,18,1
acu_re_cp3,RE-CP3,RE-CP3,,枕骨粗隆上，竖脊肌在枕骨上的起点,坐位，双手放额头下,位于治疗点同侧，一手稳定患者头部，一手治疗，使用指关节,(探究连线抬头找隆起竖直肌),19,1
acu_re_cl,RE-CL,RE-CL,,C5-6水平，斜方肌下，抵于竖脊肌边缘,坐位，双手放额头下,位于治疗点同侧，使用指关节,上余子行日以维内顶,20,1
acu_re_th,RE-TH,RE-TH,,竖脊肌上，T4-6水平,俯卧，手臂自然置于体侧,位于治疗点同侧A)肘关节B)指关节,,21,1
acu_re_lu,RE-LU,RE-LU,,竖脊肌上，T12-L1水平,俯卧，手臂放松,位于治疗点同侧A)肘关节B)指关节,,22,1
acu_re_pv,RE-PV,RE-PV,,L4-5棘突与髂后上棘之间，抵于髂棘,俯卧,位于治疗点同侧A)肘关节B)指关节,,23,1
acu_re_cx,RE-CX,RE-CX,,坐骨结节和髂后上棘中点稍下，骶结节韧带上,A)侧卧，上方腿屈曲，下方腿自然伸直；B)俯卧,A)位于患者身后，使用肘关节，另一只手稳定患者身体B)位于治疗点同侧，使用肘关节,,24,1
acu_re_ge,RE-GE,RE-GE,,大腿后侧中段1/3内，股二头肌与半腱肌之间，抵于股二头肌长头,俯卧,位于治疗点同侧或对侧，使用肘关节,垂直 rightarrow 往外顶,25,1
acu_re_ta,RE-TA,RE-TA,,小腿中段1/3内， 腓肠 肌外侧靠近肌腱处,俯卧,位于治疗点 同侧 ，使用肘关节,膝盖窝向上,26,1
acu_re_pe,RE-PE,RE-PE,,第五跖骨基 底部周围,足部外侧朝上,A)指关节B)肘关节,第五题有句,27,1
acu_re_sc,RE-SC,RE-SC,,小菱形肌上，肩胛冈内侧与C7的中点，平T2,A)坐位，同侧手做“思想者”姿势B)坐位，上身直立,位于患者身后A)肘关节，另一只手稳定患者肩膀B)指关节，另一只手稳定患者肩膀,肩胛骨,28,1
acu_re_hu,RE-HU,RE-HU,,冈下肌肌腹，肩胛冈中点下方 冈隔筋,A)俯卧，双臂自然放松 B)坐位，对侧手做“思想者”姿势,A)位于患者头侧，用指关节 B)位于患者身后，用指关节，另一只手稳定患者肩膀,手放侧边,29,1
acu_re_cu,RE-CU,RE-CU,,平三角肌止点， 肱三头 肌外侧头肌腹上,A)俯卧，手臂外展，上臂置于床面 B)俯卧，手臂置于体侧,位于治疗点同侧 A)肘关节 B)指关节,手册平行向下,30,1
acu_re_ca,RE-CA,RE-CA,,前臂远端1/3处，尺侧腕伸肌与肌腱结合处，桡尺骨之间，抵于尺骨,俯卧，手臂旋后置于体侧,位于治疗点同侧A)指关节B)指腹,,31,1
acu_re_di,RE-DI,RE-DI,,小鱼际外侧，第五掌骨中间,俯卧，手臂置于体侧,位于治疗点同侧，另一只手稳定患者手部，使用指关节,手做体侧，握笔卷,32,1
acu_ir_cp1,IR-CP1,IR-CP1,,眼眶与眼球之间，抵住 眼眶边缘寻找,仰卧,位于患者头侧，另一只 手固定患者头部,,34,1
acu_ir_cp2,IR-CP2,IR-CP2,,耳轮角前方，颞骨颧上方,仰卧，头侧偏,位于患者头侧，另一手固定患者头部A) 指关节B) 指腹,,35,1
acu_ir_cp3,IR-CP3,IR-CP3,,耳屏前下方，咬肌与耳朵之间,仰卧，头侧偏,位于患者头侧，另一只手固定患者头部A) 指关节B) 指腹,,36,1
acu_ir_cl,IR-CL,IR-CL,,胸锁乳突肌远端 胸 束和锁骨束之间,仰卧，头侧偏,位于治疗点同侧 A) 指关节 B) 指腹,,37,1
acu_ir_th,IR-TH,IR-TH,,乳头下方，第4-5肋间肌上,仰卧,位于治疗点同侧A) 指关节B) 指腹,,37,2
acu_ir_lu,IR-LU,IR-LU,,第十一肋肋尖和肋骨面，腋中线前方，腹斜肌上,A)侧卧B)仰卧,A)肘关节，面朝患者头部B)指关节,,38,1
acu_ir_pv,IR-PV,IR-PV,,臀小肌上，大转子与髂棘之间，阔筋膜张肌后方,侧卧，上方腿自然伸直，下方腿屈曲,位于患者身后，使用肘关节，另一只手固定患者身体,,38,2
acu_ir_cx,IR-CX,IR-CX,,大腿近端1/3处前侧， 缝匠肌 内侧,A)仰卧B)侧卧，下方腿屈曲，上方腿自然伸直,A)位于治疗点对侧，使用肘关节B)面朝患者，使用肘关节,,39,1
acu_ir_ge,IR-GE,IR-GE,,大腿中段和远段1/3交界处，股内侧肌上，缝匠肌外侧,A)仰卧B)侧卧，下方腿屈曲，上方腿自然伸直,A)位于治疗点对侧，使用肘关节B)面朝患者足部，使用肘关节,,39,2
acu_ir_ta,IR-TA,IR-TA,,小腿中段1/3内，胫骨和腓肠肌内侧之间，比目鱼肌、趾长屈肌和胫骨后肌筋膜上,仰卧，小腿内侧朝上,位于治疗点同侧A)指关节B)肘关节,,40,1
acu_ir_pe,IR-PE,IR-PE,,第一跖骨基底部，踇内收肌上,仰卧,A) 指关节 B) 肘关节,,40,2
acu_ir_sc,IR-SC,IR-SC,,锁骨下肌内1/3处,A)仰卧 B)坐位,位于治疗点同侧 A)指关节 B)指关节，另一只手固定肩膀,,41,1
acu_ir_hu,IR-HU,IR-HU,,喙肱肌上，胸大肌 肌腱 下，上臂内侧,仰卧,位于治疗点同侧，另一只手固定患者手臂A) 指关节B) 指腹,,41,2
acu_ir_cu,IR-CU,IR-CU,,前臂近端1/3内，旋前圆肌上,仰卧,位于治疗点同侧A) 指关节B) 指腹,,42,1
acu_ir_ca,IR-CA,IR-CA,,前臂中段1/3内，中线偏桡侧，掌长肌和桡侧腕屈肌之间,仰卧,位于治疗点同侧A) 指关节B) 肘关节,,42,2
acu_ir_di,IR-DI,IR-DI,,掌心，第2/3/4骨间肌,手心朝上,位于治疗点同侧 A) 指关节 B) 肘关节,,43,1
acu_er_cp1,ER-CP1,ER-CP1,,下眼眶与眼球之间，抵住眼眶边缘寻找,仰卧,位于患者头侧，使用指关节,,44,1
acu_er_cp2,ER-CP2,ER-CP2,,耳朵正上方，颞肌上,仰卧，头侧偏,位于患者头侧，使用指关节,,44,2
acu_er_cp3,ER-CP3,ER-CP3,,乳突后方，胸锁乳突肌在枕骨上止点,A)坐位，双手置于前额下 B)侧卧,A)使用指关节，位于患者身后，另一只手固定患者头部 B)指关节，另一只手一手固定患者头部,,45,1
acu_er_cl,ER-CL,ER-CL,,胸锁乳突肌后侧，C2-4横突，肩胛提肌和头夹肌上,仰卧，头侧偏,A) 指关节B) 指腹,,45,2
acu_er_th,ER-TH,ER-TH,,后上锯肌平T3水平，抵于竖脊肌外侧,A)俯卧，脸朝下 B)俯卧，头侧偏,A)肘关节 B)指关节,,46,1
acu_er_lu,ER-LU,ER-LU,,第十二肋肋尖，腹内斜肌上，肋骨缘,A)侧卧，上方手臂置于头顶B)俯卧，双臂自然放松,A)位于患者身后，面朝患者头部，使用肘关节B)位于治疗点同侧，使用指关节,,46,2
acu_er_pv,ER-PV,ER-PV,,骷棘最高点下方，臀中肌上,A)侧卧，上方腿自然伸直，下方腿屈曲B)俯卧,A)位于患者身后，用肘关节，另一只手稳定患者身体B)位于治疗点同侧，使用指腹,,47,1
acu_er_cx,ER-CX,ER-CX,,大转子与骶骨连线外1/3处，梨状肌上,A)侧卧，上方腿弯曲，膝盖置于床面，下方腿伸直B)俯卧，治疗侧腿屈曲,A)肘关节，位于患者身后，面朝患者头部B)肘关节，位于治疗点同侧，面朝患者尾端,,47,2
acu_er_ge,ER-GE,ER-GE,,大腿远段和中段1/3交界处，股二头肌短头，髂胫束后方,A)侧卧，上方腿屈曲，膝盖置于床面B)俯卧，治疗侧腿屈曲,A)位于治疗点同侧，使用肘关节B)位于治疗点对侧，使用肘关节,,48,1
acu_er_ta,ER-TA,ER-TA,,小腿中段1/3内稍上， 腓骨后侧,俯卧或侧卧,A)位于治疗点同侧，使 用肘关节 B)位于治疗点对侧，使 用肘关节,_____,48,2
acu_er_pe,ER-PE,ER-PE,,趾短伸肌上,足部踩在床面上,指关节,,49,1
acu_er_sc,ER-SC,ER-SC,,棘上窝内侧，斜方肌上部外侧，肩胛提肌肌腹,A)坐位，上身直立B)坐位，对侧手“思想者”姿势,治疗点同侧，肘关节，另一只手稳定肩膀,,49,2
acu_er_hu,ER-HU,ER-HU,,肱骨头水平，三角肌后 束,A)侧卧，手臂置于体前 B)自然坐位,A)肘关节 B)指关节，一手稳定肩 膀，一手治疗,,50,1
acu_er_cu,ER-CU,ER-CU,,肱三头肌肌腱外侧缘，上臂远端1/3内,俯卧，双臂置于体侧,位于治疗点同侧A)指关节B)肘关节,,50,2
acu_er_ca,ER-CA,ER-CA,,前臂中段1/3内，拇长伸肌和指伸肌之间,俯卧,位于治疗点同侧，使用指关节,,51,1
acu_er_di,ER-DI,ER-DI,,第2/3/4骨间肌背侧,手掌朝下置于治疗床,指关节,_____,51,2
acu_la_cp1,LA-CP1,LA-CP1,,外眼角外侧，眼轮匝肌外侧纤维上,仰卧，头侧偏,A)指关节B)指腹,,52,1
acu_la_cp2,LA-CP2,LA-CP2,,颞肌上，约与咬肌对齐的位置,仰卧，头侧偏,指关节，另一只手固定患者头部,,53,1
acu_la_cp3,LA-CP3,LA-CP3,,咬肌肌腹上,仰卧，头侧偏,使用指关节，另一只手 固定患者头部,,53,2
acu_la_cl,LA-CL,LA-CL,,胸锁乳突肌胸骨束与锁骨束汇合处，平甲状软骨水平,仰卧，头侧偏,使用指关节，另一只手固定头部,,54,1
acu_la_th,LA-TH,LA-TH,,肩胛骨下角之下，竖脊肌与斜方肌外面，T8-9水平的胸髂肋肌上,俯卧,位于治疗点同侧A)指关节B)肘关节,平面接触—很,54,2
acu_la_lu,LA-LU,LA-LU,,助缘和髂棘之间的区域 腰方肌外侧缘,A) 侧卧，上方手臂置于 头顶 B) 俯卧,A) 位于患者身后，使用 肘关节 B) 位于治疗点同侧，使 用肘关节,,55,1
acu_la_pv,LA-PV,LA-PV,,大转子和髂后上棘的中点，臀大肌和臀中肌间沟，第二骶孔水平,A)侧卧，上方腿伸直，下方腿弯曲B)侧卧,A)位于患者身后，使用肘关节B)位于治疗点同侧，使用肘关节,,55,2
acu_la_cx,LA-CX,LA-CX,,阔筋膜张肌肌腹上，平大转子,A)侧卧，双腿并拢微曲 B)仰卧，治疗侧腿屈曲,A)位于患者身前，使用肘关节 B)位于治疗点同侧，使用指关节,,56,1
acu_la_ge,LA-GE,LA-GE,,大腿外侧中间， 髂胫束上,A)俯卧，治疗腿弯曲 B)侧卧，双腿并拢弯曲,A)位于治疗点同侧，肘关节 B)位于患者身前，肘关节,,56,2
acu_la_ta,LA-TA,LA-TA,,小腿中段1/3内靠上，腓骨上或稍前,俯卧，治疗腿弯曲,位于治疗点同侧 A)肘关节 B)指关节,,57,1
acu_la_pe,LA-PE,LA-PE,,第2/3骨间肌背侧,足部踩在床面上,指关节,_____,57,2
acu_la_sc,LA-SC,LA-SC,,斜方肌前面，朝向斜角肌和颈基底部，胸锁乳突肌和斜方肌之间,A)仰卧，头侧偏B)坐位,A)位于治疗点同侧，指关节B)位于患者身后，指关节,,58,1
acu_la_hu,LA-HU,LA-HU,,三角肌前束与中束的肌间隔，肱骨头水平,A)仰卧B)侧卧,A)位于治疗点同侧，指关节，另一手固定肩膀B)位于患者身前，肘关节，另一只手固定肩膀,,58,2
acu_la_cu,LA-CU,LA-CU,,上臂远端1/3内，外侧 肌间隔上，肱桡肌止点,仰卧,位于治疗点同侧 A)一手固定患者手臂，另一只手治疗，使用指 关节 B)使用肘关节,,59,1
acu_la_ca,LA-CA,LA-CA,,前臂近端 1/3内 ，肱桡肌外侧缘，桡侧伸肌间沟内,俯卧，前臂置于头侧,位于治疗点同侧，一手固定患者手臂，使用指关节,,59,2
acu_la_di,LA-DI,LA-DI,,第1骨间肌背侧,手背朝上,位于治疗点同侧，使用 指关节,,60,1
acu_me_cp1,ME-CP1,ME-CP1,,内眼角内侧，抵于鼻骨,仰卧,位于治疗点同侧 A) 指关节 B) 指尖,,61,1
acu_me_cp2_a,ME-CP2 a,ME-CP2 a,,唇中锋或人中上,仰卧,使用指腹,,61,2
acu_me_cp2_r,ME-CP2 r,ME-CP2 r,,前额上部发际线处，颅骨中线,仰卧,使用指关节或指腹,,62,1
acu_me_cp3_a,ME-CP3 a,ME-CP3 a,,下巴中点,仰卧,使用指关节或指腹,,62,2
acu_me_cp3_r,ME-CP3 r,ME-CP3 r,,枕骨粗隆下，项韧带起点,A)坐位，双手置于额头 下B)俯卧,一手稳定患者头部，使 用,,63,1
acu_me_cl_r,ME-CL r,ME-CL r,,颈段棘上韧带全部触诊，找到致密点,坐位，双手置于额头下,一手固定患者头部，另一只手治疗A) 指关节B) 指腹,,63,2
acu_me_cl,ME-CL,ME-CL,,胸骨上切迹,仰卧,A) 指关节 B) 指腹,,64,1
acu_me_th,ME-TH,ME-TH,,整个胸骨上，触诊寻找致密点,仰卧,A) 指关节 B) 指腹,,64,2
acu_me_th_r,ME-TH r,ME-TH r,,胸段棘上韧带全部触诊，找到致密点,俯卧,A) 指关节 B) 指腹,,65,1
acu_me_lu,ME-LU,ME-LU,,腹白线全部触诊，找致 密点,仰卧,肘关节,,65,2
acu_me_lu_r,ME-LU r,ME-LU r,,腰段棘上韧带全部触诊，找到致密点,俯卧,肘关节,,66,1
acu_me_pv,ME-PV,ME-PV,,肚脐到耻骨联合之间区域全部触诊，找到致密点,仰卧,肘关节,,66,2
acu_me_pv_r,ME-PV r,ME-PV r,,骶骨和尾骨之间，中线上,俯卧,A)肘关节 B)指关节,,67,1
acu_me_cx,ME-CX,ME-CX,,大腿内侧近端1/3处，股薄肌上,侧卧，治疗腿在下自然伸直，上侧腿弯曲,位于患者身后A)肘关节B)指关节,,67,2
acu_me_ge,ME-GE,ME-GE,,大腿内侧远端1/3交界处，股薄肌上,侧卧，治疗腿在下自然伸直，上侧腿弯曲,位于患者身后A)肘关节B)指关节,,68,1
acu_me_ta,ME-TA,ME-TA,,小腿中段1/3，腓肠肌内侧接近肌腱处,俯卧,位于治疗点同侧，使用肘关节,,68,2
acu_me_pe,ME-PE,ME-PE,,跟骨与足舟骨之间，踇长屈肌和胫骨后肌腱膜,仰卧，足内侧向上,A) 指关节 B) 肘关节,,69,1
acu_me_sc,ME-SC,ME-SC,,第三肋间隙，胸大肌在肋骨上止点 均与肱肌,仰卧,指关节,轻一点,69,2
acu_me_hu,ME-HU,ME-HU,,上臂上1/3与中1/3交界处，内侧肌间隔上,仰卧,一手固定患者手臂，一手治疗，指关节,,70,1
acu_me_cu,ME-CU,ME-CU,,上臂远端1/3与中段1/3交界处，内侧肌间隔上治疗,仰卧,一手固定患者手臂，一手治疗，指关节,,70,2
acu_me_ca,ME-CA,ME-CA,,前臂远端1/3与中段1/3交界处，尺侧腕屈肌肌肉肌腱结合处,A)俯卧，前臂旋前B)仰卧，前臂旋后,一手固定患者手臂，一手治疗，指关节,,71,1
acu_me_di,ME-DI,ME-DI,,小鱼际肌腹上,掌心朝上,一手固定患者手掌，一手治疗，指关节,,71,2
